Presidente,Data Inicial,Motivo
Manuel Vilarinho,27/10/2000,Eleições
Luís Filipe Vieira,31/10/2003,Eleições
Luís Filipe Vieira,27/10/2006,Eleições
Luís Filipe Vieira,03/07/2009,Eleições
Luís Filipe Vieira,26/10/2012,Eleições
Luís Filipe Vieira,27/10/2016,Eleições
Luís Filipe Vieira,28/10/2020,Eleições
Rui Costa,09/07/2021,Demissão
Rui Costa,09/10/2021,Eleições
Rui Costa,08/11/2025,Eleições
